word,sentiment
*,-1
-,-1
--,1
?,-1
[,-1
],-1
accept,1
agree,1
all,-1
although,1
ambiguous,-1
an,1
another,1
any,-1
basic,-1
believe,1
benefit,1
better,-1
between,-1
bring,1
but,-1
caveat,-1
central,1
cite,-1
clarification,-1
clarify,-1
clear,1
clearly,1
clever,1
community,1
complete,1
concern,-1
conference,1
confuse,-1
confusing,-1
confusion,-1
context,1
correct,1
correctly,1
corrupted,-1
datasets,1
description,-1
desirable,1
different,1
difficult,-1
disagree,-1
drawback,-1
e,-1
easy,1
effective,1
effectively,1
effort,1
embed,1
encouraging,1
enjoy,1
enough,1
error,-1
exist,-1
expect,-1
expressive,1
extension,1
extensive,1
fail,-1
general,1
generally,1
good,1
groundbreaking,1
happy,1
highly,1
hinder,-1
how,-1
idea,1
if,-1
ignore,-1
immature,-1
important,1
incomplete,-1
inconsistency,-1
inconsistent,-1
incorrect,-1
indeed,1
interest,1
interesting,1
knowledge,1
lack,-1
lacking,-1
learn,1
limit,-1
limitation,-1
link,1
me,-1
mean,-1
mention,-1
method,1
miss,-1
missing,-1
mistake,-1
more,-1
most,1
need,-1
nice,1
nicely,1
no,-1
non-existent,-1
not,-1
novel,1
obsolete,-1
odd,-1
ok,1
only,-1
overall,1
overkill,-1
oversold,-1
overstate,-1
part,-1
performance,1
pity,-1
pleasant,1
potential,1
prediction,1
present,1
previous,1
problem,-1
promising,1
propose,1
rather,-1
read,1
readable,1
redundant,-1
reference,-1
reject,-1
relevant,1
result,1
review,1
reviewer,1
seem,-1
shallow,-1
shame,-1
shortcoming,-1
should,-1
show,1
simple,1
sketchy,-1
sloppy,-1
sound,1
strange,-1
strength,1
structure,1
suffer,-1
target,1
there,-1
these,-1
they,-1
think,1
thorough,1
though,1
too,-1
tool,1
topic,1
treandy,1
typo,-1
unanswered,-1
unclear,-1
undefined,-1
unfortunate,-1
unfortunately,-1
usage,1
useful,1
useless,-1
vague,-1
valuable,1
very,1
weak,-1
weakness,-1
weird,-1
well,1
what,-1
when,-1
why,-1
within,1
worse,-1
worth,1
would,-1
write,1
wrong,-1
you,-1
